Men_ID,Men_descr,Rainette_faux_grillon_boreale,Rainette_faux_grillon_de_l_Ouest,Salamandre_a_quatre_orteils,Salamandre_pourpre_pop_des_Adirondacks_et_des_Appalaches,Salamandre_sombre_des_montagnes_pop_des_Appalaches,Chauve_souris_argentee,Chauve_souris_cendree,Chauve_souris_nordique,Chauve_souris_pygmee_de_l_Est,Chauve_souris_rousse_de_l_Est,Grande_chauve_souris_brune,Petite_chauve_souris_brune,Pipistrelle_de_l_Est,Satyre_fauve_des_Maritimes,Aigle_royal,Arlequin_plongeur_pop_de_l_Est,Becasseau_maubeche_rufa,Bruant_sauterelle_pratensis,Garrot_d_Islande_pop_de_l_Est,Grebe_esclavon,Grive_de_Bicknell,Guifette_noire,Hibou_des_marais,Hirondelle_de_rivage,Martinet_ramoneur,Oceanite_Cul_blanc,Paruline_a_ailes_dorees,Paruline_azuree,Petit_blongios,Pluvier_siffleur_melodus,Rale_jaune,Sterne_de_Dougall,Belette_pygmee,Campagnol_lemming_de_Cooper,Campagnol_des_rochers,Campagnol_sylvestre,Musaraigne_de_Gaspe,Musaraigne_longicaude,Petit_polatouche_pop_des_plaines_des_Grands_Lacs,Alose_savoureuse,Brochet_maille,Brochet_vermicule,Chabot_de_profondeur,Chat_fou_des_rapides,Chevalier_cuivre,Chevalier_de_riviere,Cisco_de_printemps,Crapet_du_Nord,Dard_de_sable,eperlan_arc_en_ciel_pop_du_sud_de_l_estuaire_du_Saint_Laurent,Esturgeon_jaune,Esturgeon_noir,Fouille_roche_gris,Lamproie_du_Nord,Mene_laiton,Mene_d_herbe,Omble_chevalier_oquassa,Couleuvre_a_collier_du_Nord,Couleuvre_brune,Couleuvre_d_eau_du_Nord,Couleuvre_mince_du_Nord,Couleuvre_tachetee,Couleuvre_verte,Tortue_des_bois,Tortue_geographique,Tortue_molle_a_epines,Tortue_mouchetee,Tortue_musquee
8.1.2.91,Reynoutria japonica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sérieuse,,,Modérée,,Légère,,Légère,,
8.1.3.1226,Salvelinus fontinalis,,,,Modérée,Modérée,,,,,,,,,,,,,,Sérieuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.1.3.369,Ctenopharyngodon idella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inconnue,Inconnue,,,,,,,,,,,,,,,,,,,,,,
8.1.3.50,Dreissena polymorpha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inconnue,,,Sérieuse,Sérieuse,,,,,Iconnue,Inconnue,,,,,,,,,,,,,,,,
8.1.3.618,Tinca tinca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sérieuse,Sérieuse,Sérieuse,,,Sérieuse,,,,Sérieuse,,Sérieuse,Sérieuse,,,,,,,,,,,,
8.1.3.657,Neogobius melanostomus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sérieuse,,,,Sérieuse,,,,Sérieuse,Inconnue,,,,,,,,,,,,,,
8.1.3.918,Dreissena bugensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sérieuse,Sérieuse,,,,,Iconnue,Inconnue,,,,,,,,,,,,,,,,
8.1.4.567,Trapa natans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inconnue,,,,,,,,,,,,,,,,,,,,,,,
8.1.4.976,Myriophyllum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inconnue,Inconnue,,,,,Inconnue,Inconnue,,,,,,,Inconnue,Sérieuse,,,,,,,,,,,,
8.2.1,Altération de l'habitat par le castor,,Sérieuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.2.2,Augmentation du broutage par les vertébrés,,,,,,,,,,,,,,,,,,,,,,,,,,Négligeable,,,,,Modérée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.2.4,Épidémie d'insectes ravageurs,,,,,,,,,,,,,,,,,,,,,Modérée,,,,,,,Inconnue,,,,,,,,,,,Inconnue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.2.5,Augmentation de la prédation par les mésoprédateurs,,,,,,,,,,,,,,,,,,Inconnue,,Modérée,,,Modérée,Légère,Négligeable,Légère,,Inconnue,Inconnue,Sérieuse,Inconnue,Sérieuse,,Modérée,,,Modérée,Modérée,Légère,,,,,,,,,,,,,,,,,,,Légère,Modérée,Légère,Légère,Modérée,Légère,Modérée,Modérée,Modérée,Modérée,Légère
8.2.7,Ectoparasites,,,,Inconnue,Inconnue,,,,,,,,,,Légère,,,,,,,,,,,,,,,,,,,,Inconnue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inconnue,Inconnue,Inconnue,Inconnue,
8.2.8,Compétition interspécifique avec une espèce favorisée,,,,,Inconnue,,,,,,,,,,,,,,Inconnue,Inconnue,,,,,,Modérée,Extrême,Inconnue,,,,,Inconnue,,,,,,Inconnue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.4.1,Pathogène bactérien,,,,,,,,,,,,,,,,,,,,Légère,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.4.2,Pathogène viral,Inconnue,Inconnue,,,,,,,,,,,,,Modérée,,,,,,,,Légère,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue
8.4.3,Pathogène fongique,Inconnue,Inconnue,Extrême,Extrême,Extrême,,,Extrême,Extrême,,Extrême,Extrême,Extrême,,,,,,,,,,,,,,,Inconnue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sérieuse,Sérieuse,Sérieuse,Sérieuse,Sérieuse,Sérieuse,,,,,
9.1.1,Eaux usées domestiques,,,,,,,,,,,,,,,,,Inconnue,,,,,Inconnue,,,,,,,Modérée,,,,,,,,,,,,,,Modérée,Modérée,Modérée,Modérée,Modérée,Modérée,Modérée,,,,,,Modérée,Modérée,,,,Modérée,,,,Inconnue,Légère,Légère,,Inconnue
9.1.2,Effluents urbains,,Modérée,Modérée,Modérée,,,,,,,,,,Modérée,,,Inconnue,,Légère,,,Inconnue,,,,,,,Modérée,,,,,,,,,,,,,,Modérée,Modérée,Modérée,Modérée,Modérée,Modérée,Modérée,,,,,,Modérée,Modérée,,,,Légère,,,,,,,,
9.2.1,Déversement d'hydrocarbures,,Légère,,,Sérieuse,,,,,,,,,Sérieuse,,Sérieuse,Modérée,,Extrême,Modérée,,Inconnue,,,,Modérée,,,Inconnue,Sérieuse,,Sérieuse,,,,,,,,Sérieuse,,Sérieuse,,Sérieuse,Sérieuse,Sérieuse,,Sérieuse,Sérieuse,Sérieuse,Sérieuse,Sérieuse,Sérieuse,,,Sérieuse,,,,Sérieuse,,,,,,,,
9.2.2,Drainage minier acide (DMA),,,,,,,,,,,,,,,,Inconnue,Négligeable,,,,,,,,,,,,,,,,Légère,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.2.3,Retardateurs de flamme,,,,,,,,,,,,,,,Légère,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.2.4,BPC,,,,,,,,,,,,,,,,,,,Légère,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.2.5,Mercure,,,,,,,,,,,,,,,Légère,,,,Légère,,,,,Inconnue,Inconnue,Inconnue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.2.6,Plomb d'origine industrielle,,,,,,,,,,,,,,,,Inconnue,,,Légère,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.2.7,Autres rejets industriels,,Modérée,,,,,,,,,,,,Modérée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Modérée,,,Modérée,Sérieuse,,,,Modérée,,Modérée,Modérée,,,Modérée,,,,,,,,Inconnue,Inconnue
9.3.1,Charge de nutriments,,Inconnue,Sérieuse,Sérieuse,Sérieuse,,,,,,,,,,,,,,,Modérée,,Inconnue,,Inconnue,,,,,Modérée,,,,,,,,,,,,,,,Sérieuse,Sérieuse,Sérieuse,Sérieuse,Sérieuse,Sérieuse,,,,Modérée,Sérieuse,Sérieuse,Sérieuse,Sérieuse,,,Modérée,,,,Inconnue,Inconnue,Inconnue,,
9.3.2,"Érosion du sol, sédimentation",,,Sérieuse,Sérieuse,Sérieuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sérieuse,,Sérieuse,,,Sérieuse,,,,Sérieuse,,,Sérieuse,Sérieuse,,,Légère,,,,,,,,
9.3.3,Herbicides et pesticides,,Inconnue,Sérieuse,Sérieuse,Sérieuse,Sérieuse,Sérieuse,Sérieuse,Sérieuse,Sérieuse,Sérieuse,Sérieuse,Sérieuse,Sérieuse,,,Inconnue,Sérieuse,Légère,,,Inconnue,Modérée,Inconnue,Inconnue,,,Inconnue,Modérée,,,,,,,Légère,,,Légère,,,,,,Sérieuse,Sérieuse,Sérieuse,Sérieuse,Sérieuse,,Sérieuse,,,Sérieuse,Sérieuse,Sérieuse,,,,Légère,,,,,,,,
9.4.1,Ordures,,Négligeable,,,,,,,,,,,,,,,,,,,,,,,,Légère,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.4.2,Plomb solide,,,,,,,,,,,,,,,Légère,Modérée,,,,Modérée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.5.1,Pluies acides,,,,,,,,,,,,,,,,Modérée,,,,,,,,Inconnue,Inconnue,,,,,,,,,,,,,,Inconnue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.5.4,Poussières et cendres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inconnue,,,,,,,,,
9.6.1,Pollution lumineuse,,,,,,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,,,,,,,,,,,,,Légère,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.6.3,Pollution par le bruit,,Inconnue,,,,,,,,,,,,,,,,,,,,,,Légère,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.1.1,Changement des communautés végétales,Inconnue,,,,,,,,,,,,,Inconnue,,,Modérée,,,,Modérée,Inconnue,,Inconnue,,,,,,,Inconnue,Inconnue,Inconnue,,,,,,Inconnue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.1.2,Décalage phénologique,Inconnue,,,,,,,,,,,,,,,,Modérée,,,,,,,,,,,Inconnue,,,,,,,,,,,Inconnue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.2.1,Changement du pH de l'habitat,,,,,,,,,,,,,,,,Inconnue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.2.2,Changement de la salinité,Inconnue,,,,,,,,,,,,,,,Inconnue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.3.1,Vagues de chaleur,,,Inconnue,Inconnue,Inconnue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.3.2,Périodes de froid intense,Inconnue,,,,,,,,,,,,,,,,,,,,,,,,,,,Inconnue,,,,,Inconnue,,,,,,Inconnue,,,,,,,,,,,,,,,,,,,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,,,,,
11.3.3,Changement graduel de la température,,,,,,,,,,,,,,Inconnue,,Inconnue,,,,,,,,,,Modérée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.3.4,Augmentation des fluctuations de température,Inconnue,,,,,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,,,,,,,,Inconnue,,Inconnue,Inconnue,Modérée,,Inconnue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,,,,,
11.4.1,Pluies surabondantes,Inconnue,,,,,,,,,,,,,,,,,,,Modérée,,Inconnue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.4.2,Sécheresse,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,,,Modérée,Sérieuse,,Modérée,,Inconnue,,,Inconnue,,,,Inconnue,,,,,,,,,,,,,,,,,,,Inconnue,Légère,,,,,Inconnue,,,,,,,,,,,,,,
11.4.3,Changement graduel du régime des précipitations,,,,,,,,,,,,,,Légère,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.4.4,Augmentation des fluctuations dans le régime des précipitations,,,,,,,,,,,,,,,,,,Sérieuse,,,,Inconnue,,Inconnue,Inconnue,,,,Inconnue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5.1,Tempêtes et temps violents,Inconnue,,,,,,,,,,,,,Inconnue,,,Modérée,,,Modérée,,,,Inconnue,Inconnue,Légère,,Inconnue,,Modérée,,Inconnue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5.2,Onde de tempête,Inconnue,,,,,,,,,,,,,,,,,,,Modérée,,,,Inconnue,,Légère,,,,Modérée,,Inconnue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
