ID_TRC,PROPRIETAIRE_REF,CODE_ARR,FORME,RUELLE_ID,DATE_AMENAGEMENT,DATE_BONIFICATION,CIRCULATION,TYPE_AMENAGEMENT,TYPE_RECOUVREMENT,SUPERFICIE_RUELLE_M2,SUPERFICIE_VERDISSEMENT_M2,NUMERO_DE_RESOLUTION,DATE_MAJ
402457,"Rosemont - La Petite-Patrie","RPP","H","RPP-H-1000090",2016-07-01,,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",447.377,,,2019-11-27
406302,"Sud-Ouest","SO","A","SO-A-1003002",2014-07-01,,"Fermée","Mobilier","Asphalté ou bétonnée",92.511,,,2019-10-21
406303,"Sud-Ouest","SO","H","SO-H-1004008",2018-07-01,,"Fermée","Plates-bandes et mobilier","Asphalté ou bétonnée",92.604,"32",,2019-10-04
406304,"Sud-Ouest","SO","H","SO-H-1004015",2020-07-01,,"Fermée","Plates-bandes","Végétalisée",92.712,"10",,2020-12-18
406307,"Sud-Ouest","SO","H","SO-H-1004015",2020-07-01,,"Ouverte",,"Asphalté ou bétonnée",93.389,"0",,2020-12-18
404677,"Villeray - St-Michel - Parc-Extension","VSMPE","L","VSMPE-L-1100036",2022-07-01,,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",653.093,"1.9",,2022-10-11
406597,"Verdun","VRD","H","VRD-H-1020112",2011-09-24,,"Ouverte","Plates-bandes","Asphalté ou bétonnée",916.783,,,2020-11-26
406600,"Verdun","VRD","I","VRD-I-1020151",2015-06-06,,"Ouverte","Plates-bandes","Asphalté ou bétonnée",943.149,,,2020-11-26
406601,"Verdun","VRD","H","VRD-H-1020101",2010-06-05,,"Ouverte","Plates-bandes","Asphalté ou bétonnée",955.024,,,2020-11-26
406309,"Sud-Ouest","SO","J","SO-J-1004021",2021-09-01,,"Partiellement fermée","Plates-bandes","Mixte",94.305,,,2020-12-18
406362,"Sud-Ouest","SO","I","SO-I-1002004",2015-07-01,2017-07-01,"Ouverte",,"Asphalté ou bétonnée",96.033,"0",,2019-11-03
403126,"Rosemont - La Petite-Patrie","RPP","T","RPP-T-1000116",2019-07-01,,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",138.255,,,2019-12-02
403127,"Rosemont - La Petite-Patrie","RPP","T","RPP-T-1000127",2022-09-01,,"Ouverte","Plates-bandes","Asphalté ou bétonnée",138.271,"7.3",,2022-10-17
403128,"Rosemont - La Petite-Patrie","RPP","T","RPP-T-1000115",2019-07-01,,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",137.775,,,2019-12-02
402717,"Rosemont - La Petite-Patrie","RPP","H","RPP-H-1000012",2011-07-01,,"Partiellement fermée","Plates-bandes et mobilier","Asphalté ou bétonnée",168.322,,,2019-11-29
402412,"Rosemont - La Petite-Patrie","RPP","H","RPP-H-1000097",2017-07-01,,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",116.552,,,2019-11-28
403070,"Rosemont - La Petite-Patrie","RPP","F","RPP-F-1000092",2016-07-01,,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",137.482,,,2019-11-28
402718,"Rosemont - La Petite-Patrie","RPP","H","RPP-H-1000081",2019-11-27,,"Ouverte","Mobilier","Asphalté ou bétonnée",168.355,,,2019-11-27
406050,"Sud-Ouest","SO","T","SO-T-1002011",2017-07-01,2018-07-01,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",138.116,"5",,2019-11-03
405614,"Sud-Ouest","SO","A","SO-A-1004004",2014-07-01,2018-07-01,"Ouverte","Plates-bandes et mobilier","Mixte",393.935,,,2019-11-04
405616,"Sud-Ouest","SO","I","SO-I-1002007",2018-03-01,,"Partiellement fermée","Plates-bandes et mobilier","Mixte",396.457,"74",,2019-11-03
405617,"Sud-Ouest","SO","I","SO-I-1004011",2016-07-01,,"Ouverte","Plates-bandes","Mixte",399.935,"14.6",,2019-11-04
405618,"Sud-Ouest","SO","H","SO-H-1004008",2018-07-01,,"Ouverte","Plates-bandes","Asphalté ou bétonnée",402.66,"32",,2019-11-04
405847,"Verdun","VRD","E","VRD-E-1020181",2018-06-02,,"Ouverte","Plates-bandes","Asphalté ou bétonnée",157.634,,,2020-11-26
405850,"Verdun","VRD","T","VRD-T-1020131",2013-05-13,,"Ouverte","Plates-bandes","Asphalté ou bétonnée",158.246,,,2020-11-26
406542,"Verdun","VRD","A","VRD-A-1020201",2020-10-03,,"Ouverte","Plates-bandes et mobilier","Mixte",856.794,,,2020-11-26
403030,"Rosemont - La Petite-Patrie","RPP","H","RPP-H-1000100",2017-07-01,,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",825.524,,,2019-11-29
