NUMR_ECHN_UNIQ,NUMR_ECHN_ROCH_GEOLG,NUMR_AFLR_GEOFC,IDNT_CORPS_GEOLG,NUMR_AFLR_GEOLG,DATE_OBSR,CODE_TYPE_ROCH,ESTN,NORD,FUS,NUMR_FEUILT_SNRC,VAL_DENSI,COM_MESUR_DENSI,VAL_SUSCE_MAGNE,NB_MESUR_SUSCE,CODE_MESR_STAT_SUSCE,COM_MESUR_SUSCE,URL_AFLR_GEOFC,URL_ECHN_ROCH,Coord_X,Coord_Y
,,421033,A,1006,20180608,,673179,5361966,18,32A07,2.7235,,24.05,,M,,https://sigeom.mines.gouv.qc.ca/signet/classes/I1103_index?format=COMPLET&type_reqt=U&mode=NOUVELLE&entt=AG&alias_table_crit=F3E12&mnen_crit=NUMR_INTER&oper_crit=EGAL&valr_crit=421033,,-72.6607989999999,48.3870640000001
,,421033,B,1006,20180608,,673179,5361966,18,32A07,2.8927,,17.9,,M,,https://sigeom.mines.gouv.qc.ca/signet/classes/I1103_index?format=COMPLET&type_reqt=U&mode=NOUVELLE&entt=AG&alias_table_crit=F3E12&mnen_crit=NUMR_INTER&oper_crit=EGAL&valr_crit=421033,,-72.6607989999999,48.3870640000001
,,421034,A,1009,20180608,,672480,5357152,18,32A07,2.6778,,29.4,,M,,https://sigeom.mines.gouv.qc.ca/signet/classes/I1103_index?format=COMPLET&type_reqt=U&mode=NOUVELLE&entt=AG&alias_table_crit=F3E12&mnen_crit=NUMR_INTER&oper_crit=EGAL&valr_crit=421034,,-72.672206,48.343982
,,421034,B,1009,20180608,,672480,5357152,18,32A07,,,10.3,,U,,https://sigeom.mines.gouv.qc.ca/signet/classes/I1103_index?format=COMPLET&type_reqt=U&mode=NOUVELLE&entt=AG&alias_table_crit=F3E12&mnen_crit=NUMR_INTER&oper_crit=EGAL&valr_crit=421034,,-72.672206,48.343982
,,421034,C,1009,20180608,,672480,5357152,18,32A07,,,0.024,,U,,https://sigeom.mines.gouv.qc.ca/signet/classes/I1103_index?format=COMPLET&type_reqt=U&mode=NOUVELLE&entt=AG&alias_table_crit=F3E12&mnen_crit=NUMR_INTER&oper_crit=EGAL&valr_crit=421034,,-72.672206,48.343982
,,421037,A,1005,20180608,,673059,5361100,18,32A07,2.7782,,0.832,,M,,https://sigeom.mines.gouv.qc.ca/signet/classes/I1103_index?format=COMPLET&type_reqt=U&mode=NOUVELLE&entt=AG&alias_table_crit=F3E12&mnen_crit=NUMR_INTER&oper_crit=EGAL&valr_crit=421037,,-72.662775,48.379312
,,421037,C,1005,20180608,,673059,5361100,18,32A07,3.018,,121,,M,,https://sigeom.mines.gouv.qc.ca/signet/classes/I1103_index?format=COMPLET&type_reqt=U&mode=NOUVELLE&entt=AG&alias_table_crit=F3E12&mnen_crit=NUMR_INTER&oper_crit=EGAL&valr_crit=421037,,-72.662775,48.379312
2018073419,18FT4005-A1,421039,A,4005,20180608,I2H,682552,5358688,18,32A07,2.9102,,0.495,,M,,https://sigeom.mines.gouv.qc.ca/signet/classes/I1103_index?format=COMPLET&type_reqt=U&mode=NOUVELLE&entt=AG&alias_table_crit=F3E12&mnen_crit=NUMR_INTER&oper_crit=EGAL&valr_crit=421039,https://sigeom.mines.gouv.qc.ca/signet/classes/I1103_index?format=COMPLET&type_reqt=U&mode=NOUVELLE&entt=ER&alias_table_crit=ERS&mnen_crit=NUMR_INTER&oper_crit=EGAL&valr_crit=2018073419,-72.535736,48.3549580000001
,,421040,A,4006,20180608,,683347,5358480,18,32A07,2.7242,,21.55,,M,,https://sigeom.mines.gouv.qc.ca/signet/classes/I1103_index?format=COMPLET&type_reqt=U&mode=NOUVELLE&entt=AG&alias_table_crit=F3E12&mnen_crit=NUMR_INTER&oper_crit=EGAL&valr_crit=421040,,-72.5251049999999,48.352858
,,421041,A,4007,20180608,,683243,5358120,18,32A07,2.6731,,28.6,,M,,https://sigeom.mines.gouv.qc.ca/signet/classes/I1103_index?format=COMPLET&type_reqt=U&mode=NOUVELLE&entt=AG&alias_table_crit=F3E12&mnen_crit=NUMR_INTER&oper_crit=EGAL&valr_crit=421041,,-72.526664,48.349652
,,421042,A,4008,20180608,,683408,5357652,18,32A07,2.707,,41.3,,M,,https://sigeom.mines.gouv.qc.ca/signet/classes/I1103_index?format=COMPLET&type_reqt=U&mode=NOUVELLE&entt=AG&alias_table_crit=F3E12&mnen_crit=NUMR_INTER&oper_crit=EGAL&valr_crit=421042,,-72.524643,48.345398
,,421043,A,4009,20180608,,683910,5356852,18,32A07,2.7508,,35.3,,M,,https://sigeom.mines.gouv.qc.ca/signet/classes/I1103_index?format=COMPLET&type_reqt=U&mode=NOUVELLE&entt=AG&alias_table_crit=F3E12&mnen_crit=NUMR_INTER&oper_crit=EGAL&valr_crit=421043,,-72.518224,48.338061
,,421044,B,7012,20180608,,649072,5363294,18,32A07,2.8027,,43.25,,M,,https://sigeom.mines.gouv.qc.ca/signet/classes/I1103_index?format=COMPLET&type_reqt=U&mode=NOUVELLE&entt=AG&alias_table_crit=F3E12&mnen_crit=NUMR_INTER&oper_crit=EGAL&valr_crit=421044,,-72.9857249999999,48.4051630000001
,,421047,A,7015,20180608,,649943,5362915,18,32A07,2.9533,,72.167,,M,,https://sigeom.mines.gouv.qc.ca/signet/classes/I1103_index?format=COMPLET&type_reqt=U&mode=NOUVELLE&entt=AG&alias_table_crit=F3E12&mnen_crit=NUMR_INTER&oper_crit=EGAL&valr_crit=421047,,-72.974099,48.401548
