Numero_accession,Categorie_objet,Sous_categorie_objet,Nom_objet,Type_objet,Autres_noms_objet,Artiste_artisan,Autre_artiste_artisan,Titre,Variante_titre,Fabricant,Pays_fabricant,Province_fabricant,Ville_fabricant,Date_debut_production,Date_fin_production,Periode,Materiaux,Medium,Support,Technique_fabrication,Sujet_image,Continent_origine,Pays_origine,Province_origine,Ville_origine,Ecole_style,Culture,Secteur_geo_culturel,Territoire_ancestral_correspondant,Mode_acquisition,Date_accession
2005.1.10,Beaux-Arts,Estampe,estampe,,,"Koch, Max",,Non titré,,W. Neumann & Co.; M. Bauer & Co.,Allemagne,,Leipzig,1894,1895,4e quart du XIXe siècle,,encre,papier,"développé, calotype",portrait; nu,Europe,Allemagne,,,art moderne,européen,,,don,2005-02-08
2005.1.11,Beaux-Arts,Estampe,estampe,,,"Koch, Max",,Non titré,,W. Neumann & Co.; M. Bauer & Co.,Allemagne,,Leipzig,1894,1895,4e quart du XIXe siècle,,encre,papier,"développé, calotype",portrait; nu,Europe,Allemagne,,,art moderne,européen,,,don,2005-02-08
2005.1.12,Beaux-Arts,Estampe,estampe,,,"Koch, Max",,Non titré,,W. Neumann & Co.; M. Bauer & Co.,Allemagne,,Leipzig,1894,1895,4e quart du XIXe siècle,,encre,papier,"développé, calotype",portrait; nu,Europe,Allemagne,,,art moderne,européen,,,don,2005-02-08
2005.1.13,Beaux-Arts,Estampe,estampe,,,"Lemoyne, Serge",,Autoportrait,,,,,,,1981,XXe siècle,,encre,papier,"imprimé, sérigraphie",portrait,Amérique du Nord,Canada,Québec,Acton Vale,art contemporain,"nord-américain, québécois",Montérégie,,don,2005-02-08
2005.1.14,Beaux-Arts,Estampe,estampe,,,"Lemoyne, Serge",,C,,,,,,,1978,XXe siècle,,encre,papier,"imprimé, sérigraphie",abstraction,Amérique du Nord,Canada,Québec,Acton Vale,art contemporain,"nord-américain, québécois",Montérégie,,don,2005-02-08
2005.1.15,Beaux-Arts,Estampe,estampe,,,"Lemoyne, Serge",,F,,,,,,,1978,4e quart du XXe siècle,,encre,papier,"imprimé, sérigraphie",abstraction,Amérique du Nord,Canada,Québec,Acton Vale,art contemporain,"nord-américain, québécois",Montérégie,,don,2005-02-08
2005.1.16,Beaux-Arts,Estampe,estampe,,,"Lemoyne, Serge",,Hong-Kong vous y êtes,,,,,,,1981,4e quart du XXe siècle,,encre,papier,"imprimé, sérigraphie",portrait,Amérique du Nord,Canada,Québec,Acton Vale,art contemporain,"nord-américain, québécois",Montérégie,,don,2005-02-08
2005.1.17,Beaux-Arts,Estampe,estampe,,,"Vincent, François",,"Pierres, vent et translation",,,,,,,2003,XXIe siècle,,encre,papier,eau-forte,allégorie,Amérique du Nord,Canada,Québec,Montréal,art contemporain,"nord-américain, québécois",,,don,2005-02-08
2005.1.18,Beaux-Arts,Photographie,photographie,,,"Rondinone, Ugo",,Non titré,,,,,,,,XXIe siècle,,épreuve argentique,papier,photographié,portrait,Europe,Suisse,,,art contemporain,"nord-américain, canadien",,,don,2005-02-08
2005.1.19,Beaux-Arts,Estampe,estampe,,,"Routhier, Gabriel",,Loge,,,,,,,1988,XXe siècle,,encre,papier,"imprimé, xylographie",semi-abstraction; paysage; animal,Amérique du Nord,Canada,Québec,Québec,art contemporain,"nord-américain, québécois",,,don,2005-02-08
2005.1.20,Beaux-Arts,Estampe,estampe,,,"Routhier, Gabriel",,Loge II,,,,,,,1988,XXe siècle,,encre,papier,"imprimé, xylographie",abstraction,Amérique du Nord,Canada,Québec,Québec,art contemporain,"nord-américain, québécois",,,don,2005-02-08
2005.1.21,Beaux-Arts,Estampe,estampe,,,"Scherman, Tony",,Jupiter's Dinner,,,,,,,1991,XXe siècle,,encre,papier,eau-forte; aquatinte,nature morte,Amérique du Nord,Canada,,,art contemporain,"nord-américain, canadien",,,don,2005-02-08
2005.1.22,Beaux-Arts,Estampe,estampe,,,"Mirò, Joan",,Sobreteixims,,,,,,,1973,XXe siècle,,encre,papier,"imprimé, lithographie",abstraction,Europe,Espagne,,Barcelone,art contemporain,européen,,,don,2005-02-08
2005.2,Beaux-Arts,Photographie,photographie,,,"Alleyn, Jennifer",,Edmund Alleyn,,,,,,,1990,XXe siècle,,épreuve argentique,carton,,portrait,Amérique du Nord,Canada,Québec,Montréal,art contemporain,"nord-américain, québécois; nord-américain, canadien",,,don,2005-02-14
2005.3,Arts décoratifs,Céramique,urne,,céramique,"Mullavey, Dean",,Vase,,,,,,,1970,XXe siècle,"céramique, grès",,,sculpté; émaillé,objet,Amérique du Nord,Canada,Québec,North Hatley,art contemporain,"nord-américain, américain; nord-américain, québécois","Cantons-de-l'Est, Memphrémagog",,don,2005-12-09
2005.4.1,Beaux-Arts,Estampe,estampe,originale,,"Carzou, Jean",,Exotique,,,,,,,1977,XXe siècle,,encre,papier,"imprimé, lithographie",marine; allégorie,Europe,France,,,art contemporain,européen,,,don,2005-12-02
2005.4.2,Beaux-Arts,Estampe,estampe,,,"Hartung, Hans",,Marron #3,,,,,,,,XXe siècle,,encre,papier,"imprimé, lithographie",abstraction,Europe,France,Île-de-France,Paris,art abstrait,européen,,,don,2005-12-02
2005.4.3,Beaux-Arts,Estampe,estampe,,,"Masson, André",,Non titré,,,,,,,,XXe siècle,,encre,papier,"imprimé, lithographie",semi-abstraction; portrait,Europe,France,,,surréalisme,européen,,,don,2005-12-02
2005.4.4,Beaux-Arts,Estampe,estampe,,,"Moore, Henry",,Reclining Figure with Architectural Background,,,,,,,1978,XXe siècle,,encre,papier,"imprimé, lithographie",semi-abstraction; portrait,Europe,"Royaume-Uni, Angleterre",,,art contemporain,européen,,,don,2005-12-02
2005.4.5,Beaux-Arts,Estampe,estampe,,,"Zadkine, Ossip",,Le dieu noir,,,,,,,,XXe siècle,,encre,papier,"imprimé, lithographie",abstraction,Amérique du Nord,États-Unis d'Amérique,,,art contemporain,"nord-américain, américain",,,don,2005-12-02
2005.4.6,Beaux-Arts,Peinture,peinture,murale,,"Biéler, André-Charles",,Pêcheurs de Gaspé,,,,,,,1975,XXe siècle,,huile,panneau,peint,scène de genre; portrait,,,,,art contemporain,"nord-américain, québécois; nord-américain, canadien",,,don,2005-12-02
2005.4.7,Beaux-Arts,Dessin,dessin,,,"Coburn, Frederick Simpson",,Non titré,,,,,,,,XXe siècle,,crayon de couleur,papier,dessiné,paysage,Amérique du Nord,Canada,Québec,Upper Melbourne,art moderne,"nord-américain, canadien",Cantons-de-l'Est,,don,2005-12-02
2005.4.8,Beaux-Arts,Dessin,dessin,,,"Fortin, Marc-Aurèle",,Sans titre (Maison et charrette),,,,,,,1965 c,3e quart du XXe siècle,,aquarelle; feutre,papier,"dessiné; peint, lavis",paysage,Amérique du Nord,Canada,Québec,,art contemporain,"nord-américain, québécois",,,don,2005-12-02
2005.4.9,Beaux-Arts,Peinture,peinture,murale,,"Leclerc, Gisèle",,Personnage avec une poupée,,,,,,,,XXe siècle,,huile,toile,peint,semi-abstraction; portrait,Amérique du Nord,Canada,Québec,Québec,art contemporain,"nord-américain, québécois",,,don,2005-12-02
2005.5.1,Beaux-Arts,Estampe,estampe,,,"Alechinsky, Pierre",,Espionne,,,,,,,1970,XXe siècle,,encre,papier,"imprimé, lithographie; linogravure",semi-abstraction; portrait,Amérique du Nord,Belgique,,Bruxelles,CoBrA,européen,,,don,2005-12-02
2005.5.2,Beaux-Arts,Estampe,estampe,,,"Giacometti, Alberto",,L'atelier aux bouteilles,,,,,,,1957 ?,XXe siècle,,encre,papier,"imprimé, lithographie",vue d'intérieur,Europe,Suisse,,,art contemporain,européen,,,don,2005-12-02
2005.5.3.1,Beaux-Arts,Estampe,estampe,,,"Lemieux, Jean-Paul",,La Traversée,Les vacances de Luzina,,,,,,1971,XXe siècle,,encre,papier,"imprimé, photolithographie",scène de genre,Amérique du Nord,Canada,Québec,Québec,art contemporain,"nord-américain, québécois",,,don,2005-12-02
2005.5.3.1-20,Beaux-Arts,Estampe,coffret,,,"Lemieux, Jean-Paul",Gabrielle Roy,La petite poule d'eau,,Gilles Corbeil Éditeur,France,Île-de-France,Paris,,1983,4e quart du XXe siècle,,,,,animal,Amérique du Nord,Canada,Québec,Québec,art contemporain,"nord-américain, québécois",,,don,2005-12-02
2005.5.3.2,Beaux-Arts,Estampe,estampe,,,"Lemieux, Jean-Paul",,Luzina,Les vacances de Luzina,,,,,,1971,XXe siècle,,encre,papier,"imprimé, photolithographie",paysage,Amérique du Nord,Canada,Québec,Québec,art contemporain,"nord-américain, québécois",,,don,2005-12-02
2005.5.3.3,Beaux-Arts,Estampe,estampe,,,"Lemieux, Jean-Paul",,Le Lac de la Grande Poule d'eau,de la série La petite poule d'eau,,,,,,1971,XXe siècle,,encre,papier,"imprimé, photolithographie",scène de genre,Amérique du Nord,Canada,Québec,Québec,art contemporain,"nord-américain, québécois",,,don,2005-12-02
