Numero_accession,Categorie_objet,Sous_categorie_objet,Nom_objet,Type_objet,Autres_noms_objet,Artiste_artisan,Autre_artiste_artisan,Titre,Variante_titre,Fabricant,Pays_fabricant,Province_fabricant,Ville_fabricant,Date_debut_production,Date_fin_production,Periode,Materiaux,Medium,Support,Technique_fabrication,Sujet_image,Continent_origine,Pays_origine,Province_origine,Ville_origine,Ecole_style,Culture,Secteur_geo_culturel,Territoire_ancestral_correspondant,Mode_acquisition,Date_accession
1982.1,Beaux-Arts,Estampe,estampe,épreuve d'artiste,,"Bourret, Jeannine",,Neige,,,,,,,1982,XXe siècle,,encre,papier,"imprimé, collagraphie",semi-abstraction; paysage,Amérique du Nord,Canada,Québec,Weedon,art contemporain,"nord-américain, québécois","Cantons-de-l'Est, Haut-Saint-François",,don,1982-09-10
1982.2,Beaux-Arts,Sculpture,sculpture,ronde-bosse,,"Doucet-Saito, Louise",,Non titré,,,,,,,1980,XXe siècle,"céramique, grès",,,sculpté; montage à la plaque,objet,Amérique du Nord,Canada,Québec,Way's Mills,art contemporain,"nord-américain, québécois","Cantons-de-l'Est, La Vallée de la Coaticook",,don,1982-10-08
1982.3,Beaux-Arts,Sculpture,sculpture,ronde-bosse,,"Girard, Nicole",,Sécheresse,,,,,,,1978,XXe siècle,argile,,,façonné; cuit; verni,objet,Amérique du Nord,Canada,Québec,Magog,art contemporain,"nord-américain, québécois","Cantons-de-l'Est, Memphrémagog",,don,1982-10-15
1982.4,Beaux-Arts,Peinture,peinture,murale,,"Bégin, Charles",,Brume,,,,,,,1976,XXe siècle,,huile,toile,peint,portrait; paysage,Amérique du Nord,Canada,Québec,Saint-Georges,art contemporain,"nord-américain, québécois",Chaudière-Appalaches,,don,1982-10-20
1982.5,Beaux-Arts,Sculpture,sculpture,ronde-bosse,,"Larivière, Gilles",,Lévitation,,,,,,,1979,XXe siècle,"métal, acier",,,sculpté; soudé,abstraction,Amérique du Nord,Canada,Québec,Sherbrooke,art contemporain,"nord-américain, québécois",Cantons-de-l'Est,,don,1982-10-24
1982.6,Beaux-Arts,Techniques mixtes,dessin,,,"Jeannotte, Pierre",,Mémo 16,,,,,,,1981,XXe siècle,,gouache; encre; papier,carton,dessiné,abstraction,Amérique du Nord,Canada,Québec,Sherbrooke,art contemporain,"nord-américain, québécois",Cantons-de-l'Est,,don,1982-10-24
1982.7,Beaux-Arts,Peinture,peinture,murale,,"Daigle, Yvon",,King's Landing,,,,,,,1976-09-19,XXe siècle,,acrylique,panneau de bois,peint,paysage; marine; scène de genre,,,,,art populaire / art naïf,"nord-américain, acadien",,,don,1982-10-25
1982.8,Beaux-Arts,Peinture,peinture,murale,,"Barbeau, Jacques",,Procession de la Fête-Dieu,,,,,,,1982,XXe siècle,,huile,toile,peint,scène de genre; religion,Amérique du Nord,Canada,Québec,Sherbrooke,art populaire / art naïf,"nord-américain, québécois",Cantons-de-l'Est,,don,1982-10-25
1982.9.1,Beaux-Arts,Estampe,estampe,,,"Vittecoq, Arlette",,Prélude à l'hiver,,,,,,,1979,XXe siècle,,encre,papier aquarelle,"imprimé, sérigraphie",scène de genre; animal,Amérique du Nord,Canada,Québec,Sherbrooke,art contemporain,"européen, français; nord-américain, québécois",Cantons-de-l'Est,,don,1982-10-25
1982.9.1-9,Beaux-Arts,Estampe,album,,,Regroupement des artistes des Cantons-de-l'Est,,Diverses Gens,,,,,,,1979,XXe siècle,carton,,,,,Amérique du Nord,Canada,Québec,Sherbrooke,art contemporain,"nord-américain, québécois",Cantons-de-l'Est,,don,1982-10-25
1982.9.2,Beaux-Arts,Estampe,estampe,,,"Richard, Hélène",,Mes yeux revoient encore,,,,,,,1979,XXe siècle,,encre,papier aquarelle,"imprimé, sérigraphie",portrait; paysage,Amérique du Nord,Canada,Québec,Sherbrooke,art contemporain,"nord-américain, québécois",Cantons-de-l'Est,,don,1982-10-25
1982.9.3,Beaux-Arts,Estampe,estampe,,,"Lafrance, Claude",,Atlantriptique,,,,,,,1979,XXe siècle,,encre,papier aquarelle,"imprimé, sérigraphie",abstraction,Amérique du Nord,Canada,Québec,Sherbrooke,art contemporain,"nord-américain, québécois",Cantons-de-l'Est,,don,1982-10-25
1982.9.4,Beaux-Arts,Estampe,estampe,,,"Lafleur, Claude",,La fenêtre sous la mer,,,,,,,1979,XXe siècle,,encre,papier aquarelle,"imprimé, sérigraphie",abstraction,Amérique du Nord,Canada,Québec,Sherbrooke,art contemporain,"nord-américain, québécois",Cantons-de-l'Est,,don,1982-10-25
1982.9.5,Beaux-Arts,Estampe,estampe,,,"Jeannotte, Pierre",,Canton Morcelé,,,,,,,1979,XXe siècle,,encre,papier aquarelle,"imprimé, sérigraphie",abstraction,Amérique du Nord,Canada,Québec,Sherbrooke,art contemporain,"nord-américain, québécois",Cantons-de-l'Est,,don,1982-10-25
1982.9.6,Beaux-Arts,Estampe,estampe,,,"Beauchesne, Francine",,Imagerie,,,,,,,1979,XXe siècle,,encre,papier aquarelle,"imprimé, sérigraphie",portrait,Amérique du Nord,Canada,Québec,Sherbrooke,art contemporain,"nord-américain, québécois",Cantons-de-l'Est,,don,1982-10-25
1982.9.7,Beaux-Arts,Estampe,estampe,,,"Desaulniers, Louis",,Jardin de givre,,,,,,,1979,XXe siècle,,encre,papier aquarelle,"imprimé, sérigraphie",abstraction,Amérique du Nord,Canada,Québec,,art contemporain,"nord-américain, québécois",,,don,1982-10-25
1982.9.8,Beaux-Arts,Estampe,estampe,,,"Lacroix, André",,Virage à droite,,,,,,,1979,XXe siècle,,encre,papier aquarelle,"imprimé, sérigraphie",animal,Amérique du Nord,Canada,Québec,,art contemporain,"nord-américain, québécois",,,don,1982-10-25
1982.9.9,Beaux-Arts,Estampe,estampe,,,"Cantieni, Graham",,Brisure,,,,,,,1979,XXe siècle,,encre,papier aquarelle,"imprimé, sérigraphie",abstraction,Amérique du Nord,Canada,Québec,Montréal,art contemporain,"nord-américain, canadien",,,don,1982-10-25
1982.10,Beaux-Arts,Peinture,peinture,murale,,"Richard, Hélène",,La voisine aux trois pintades,,,,,,,1981,4e quart du XXe siècle,,huile,toile,peint,portrait; animal,Amérique du Nord,Canada,Québec,Sherbrooke,art contemporain,"nord-américain, québécois",Cantons-de-l'Est,,don,1982-10-25
1982.11,Beaux-Arts,Peinture,peinture,murale,,"Whale, Robert Reginald",,Non titré,,,,,,,1850 c,XIXe siècle,,huile,toile,peint,portrait; figure,Amérique du Nord,Canada,Ontario,Brantford,art moderne,"nord-américain, canadien",,,don,1982-10-15
1982.12,Beaux-Arts,Peinture,peinture,murale,,"Voyer, Monique",,Drôle de sommeil,,,,,,,1982,XXe siècle,,pastel; encre,papier washi,peint; lavis,abstraction,Amérique du Nord,Canada,Québec,Magog,post-automatisme,"nord-américain, québécois","Cantons-de-l'Est, Memphrémagog",,don,1982-10-25
1982.13,Beaux-Arts,Estampe,estampe,,,"Bellefleur, Léon",,Les Sagittaires,,,,,,,1956,XXe siècle,,encre,papier,eau-forte,semi-abstraction; portrait,Amérique du Nord,Canada,Québec,Montréal,art contemporain,"nord-américain, québécois",,,don,1982-10-26
1982.14,Beaux-Arts,Peinture,peinture,murale,,"Pearson, Gordon",,Bouleaux d'hiver,,,,,,,1981,XXe siècle,,aquarelle,papier,peint,paysage,Amérique du Nord,Canada,Québec,,art contemporain,"nord-américain, québécois; nord-américain, canadien",,,don,1982-10-26
1982.15,Beaux-Arts,Dessin,dessin,,,"Audette, Madeleine",,Papillonnade,,,,,,,1981,XXe siècle,,encre de Chine,papier,dessiné,abstraction,Amérique du Nord,Canada,Québec,Magog,art contemporain,"nord-américain, québécois","Cantons-de-l'Est, Memphrémagog",,don,1982-10-28
1982.16,Beaux-Arts,Peinture,peinture,murale,,"Théoret, Michèle",,Non titré,,,,,,,1979,XXe siècle,,huile,panneau de bois,peint,semi-abstraction; portrait,Amérique du Nord,Canada,Québec,,art contemporain,"nord-américain, québécois",,,don,1982-11-02
1982.17,Beaux-Arts,Peinture,peinture,murale,,"Seese, Wayne",,Non titré,,,,,,,1980,XXe siècle,,aquarelle; encre,papier,peint; lavis,portrait; animal,Amérique du Nord,Canada,Québec,Stanstead,art contemporain,"nord-américain, américain","Cantons-de-l'Est, Memphrémagog",,don,1982-11-23
1982.19,Beaux-Arts,Photographie,photographie,noir et blanc; murale; argentique,,"Vittecoq, Arlette",,Brume matinale,,,,,,,1980,4e quart du XXe siècle,,épreuve argentique,papier,"photographié; développé, gélatino-argentique",paysage; animal,Amérique du Nord,Canada,Québec,Sherbrooke,art contemporain,"européen, français; nord-américain, québécois",Cantons-de-l'Est,,don,1982-10-25
1983.1,Beaux-Arts,Peinture,peinture,murale,,"Sorensen, David",,Circle Group #2,,,,,,,1978,XXe siècle,,huile,papier,peint,abstraction,Amérique du Nord,Canada,Québec,Ayer's Cliff,art contemporain,"nord-américain, canadien","Cantons-de-l'Est, Memphrémagog",,don,1983-01-19
1983.2,Beaux-Arts,Dessin,dessin,,,"Chabot, Marcel",,Ce soir mes fiançailles,,,,,,,1981,XXe siècle,,pastel,papier,peint,paysage; végétal,Amérique du Nord,Canada,Québec,,art contemporain,"nord-américain, québécois; nord-américain, canadien",,,don,1983-01-23
1983.3,Beaux-Arts,Peinture,peinture,murale,,"Bégin, Charles",,Jour de Fête,,,,,,,1982,XXe siècle,,acrylique,toile,peint,portrait,Amérique du Nord,Canada,Québec,Saint-Georges,art contemporain,"nord-américain, québécois",Chaudière-Appalaches,,don,1983-01-23
1983.4,Beaux-Arts,Peinture,peinture,murale,,"Bergeron, Roxanne",,"Nue, 82",,,,,,,1982,XXe siècle,,huile,toile,peint,portrait; nu,Amérique du Nord,Canada,Québec,,art contemporain,"nord-américain, québécois",,,don,1983
1983.5,Beaux-Arts,Peinture,peinture,murale,,"D'Alonzo, Joseph",,Nature morte aux oranges,,,,,,,,XXe siècle,,huile,toile,peint,nature morte,Amérique du Nord,Canada,Québec,,art contemporain,"nord-américain, québécois; nord-américain, canadien",,,don,1983-01-29
1983.6,Beaux-Arts,Dessin,dessin,,,"Bergeron, Roxanne",,Visage de femme,,,,,,,1977,XXe siècle,,pastel,papier,dessiné,semi-abstraction; portrait,Amérique du Nord,Canada,Québec,Sherbrooke,art contemporain,"nord-américain, québécois",Cantons-de-l'Est,,don,1983-02-02
1983.7,Beaux-Arts,Livre/Album,livre,d'architecture,,"De Lorme, Philibert",,Parallele de l'Architecture antique et de la moderne,,"Charles Antoine Jombert, Libraire du Roi pour l'Artillerie et le Génie",France,,Issy-Les-Moulineaux,1600 po,1625 an,XVIIe siècle,"papier; cuir, synthétique",encre,papier,eau-forte,architecture,Europe,France,,,,"européen, français",,,don,1983-02-03
1983.8,Beaux-Arts,Peinture,peinture,murale,,"St-Arnaud, Michel",,Fleuve St-Laurent,,,,,,,1980,XXe siècle,,acrylique,toile,peint,paysage; marine; scène de genre,Amérique du Nord,Canada,Québec,,art populaire / art naïf,"nord-américain, québécois",,,don,1983-02-10
1983.9.3,Beaux-Arts,Estampe,estampe,,,"Bailey, Guy",,La mariée,,,,,,,1983,XXe siècle,,encre,papier,"imprimé, sérigraphie",portrait,Amérique du Nord,Canada,Québec,Cap-de-la-Madeleine,art populaire / art naïf,"nord-américain, québécois",Mauricie,,don,1983-05-05
1983.9.8,Beaux-Arts,Estampe,estampe,,,"Bailey, Guy",,Tarte aux pommes,,,,,,,1983,XXe siècle,,encre,papier,"imprimé, sérigraphie",vue d'intérieur; scène de genre,Amérique du Nord,Canada,Québec,Cap-de-la-Madeleine,art populaire / art naïf,"nord-américain, québécois",Mauricie,,don,1983-05-05
1983.9.10,Beaux-Arts,Estampe,estampe,,,"Bailey, Guy",,Cabane à sucre,,,,,,,1983,XXe siècle,,encre,papier,"imprimé, sérigraphie",société et identité; scène de genre,Amérique du Nord,Canada,Québec,Cap-de-la-Madeleine,art populaire / art naïf,"nord-américain, québécois",Mauricie,,don,1983-05-05
1983.10,Beaux-Arts,Peinture,peinture,murale,,"Champagne, Michel",,Voyage vers l'infini,,,,,,,,XXe siècle,,huile,toile,peint,abstraction,Amérique du Nord,Canada,Québec,Québec,art contemporain,"nord-américain, québécois",,,don,1983-05-05
1983.11,Beaux-Arts,Peinture,peinture,murale,,"Lafleur, Claude",,Cycliste,,,,,,,1982,XXe siècle,,acrylique,toile,peint,portrait; scène de genre,Amérique du Nord,Canada,Québec,Sherbrooke,art contemporain,"nord-américain, québécois",Cantons-de-l'Est,,don,1983-05-05
1983.12,Beaux-Arts,Estampe,estampe,,,"Benoît, Nicole",,Le grand 8,,,,,,,1980,4e quart du XXe siècle,,encre,papier,photographié; eau-forte,abstraction,Amérique du Nord,Canada,Québec,Magog,art contemporain,"nord-américain, québécois","Cantons-de-l'Est, Memphrémagog",,don,1983-05-07
1983.13,Beaux-Arts,Dessin,dessin,,,"Dubois, Marius",,Clocher de Ste-Pétronille,,,,,,1982-05 po,1982-08 an,3e quart du XXe siècle,,fusain,papier,dessiné,paysage; architecture,Amérique du Nord,Canada,Québec,,art contemporain,"nord-américain, québécois",,,don,1983-05-07
1983.14,Arts décoratifs,Céramique,vase,ronde-bosse,sculpture,"Thérien, Loïc",,Sans titre,Poterie : Cone 10,,,,,,,XXe siècle,"glaçure, cristalline; oxyde, de cobalt; oxyde, de cuivre",,,sculpté; cuit; émaillé,végétal,Amérique du Nord,Canada,Québec,Sherbrooke,art contemporain,"nord-américain, québécois",Cantons-de-l'Est,,don,1983-05-08
1983.15.2,Beaux-Arts,Estampe,estampe,murale,,"Lafleur, Claude",,Froidure,,,,,,,1983,XXe siècle,,encre,papier aquarelle,"imprimé, sérigraphie",portrait,Amérique du Nord,Canada,Québec,Sherbrooke,art contemporain,"nord-américain, québécois",Cantons-de-l'Est,,don,1983-05-08
1983.15.3,Beaux-Arts,Estampe,estampe,,,"Richard, Hélène",,A la mi-mai,,,,,,,1983,XXe siècle,,encre,papier aquarelle,"imprimé, sérigraphie",portrait; paysage,Amérique du Nord,Canada,Québec,Sherbrooke,art contemporain,"nord-américain, québécois",Cantons-de-l'Est,,don,1983-05-08
1983.16,Beaux-Arts,Peinture,peinture,murale,,"Benazon, Ophra",,25 carreaux no.10,,,,,,,1981,XXe siècle,,acrylique,toile,peint,abstraction,Amérique du Nord,Canada,Québec,Sherbrooke,art contemporain,"asiatique, israélien; nord-américain, canadien",Cantons-de-l'Est,,don,1983-05-08
1983.17,Beaux-Arts,Peinture,peinture,murale,,"Dupuis, Réginald",,Il était une fois l'amiante,,,,,,,1981,XXe siècle,,acrylique,papier,peint,objet,Amérique du Nord,Canada,Québec,,art contemporain,"nord-américain, québécois",,,don,1983-05-08
1983.18.1-7,Arts décoratifs,Textile,tapisserie,,,"Mondou, Pierrette",,Suite Arctique,,,,,,,1979,4e quart du XXe siècle,"plastique, acrylique; fibre, synthétique; fibre, laine; fibre, coton",,,tissé; assemblé,abstraction,Amérique du Nord,Canada,Québec,Montréal,Nouvelle tapisserie,"nord-américain, québécois",,,don,1983-05-24
1983.19.1,Beaux-Arts,Dessin,dessin,,,"Audette, Madeleine",,Réflexion (3-300-74),,,,,,,1974,XXe siècle,,encre invisible,papier,dessiné,semi-abstraction; paysage,Amérique du Nord,Canada,Québec,,art contemporain,"nord-américain, québécois",,,don,1983-05-27
1983.19.2,Beaux-Arts,Peinture,peinture,murale,,"Barbeau, Jacques",,Femme,,,,,,,1975,XXe siècle,,huile,toile,peint,portrait,Amérique du Nord,Canada,Québec,Sherbrooke,art populaire / art naïf,"nord-américain, québécois",Cantons-de-l'Est,,don,1983-05-27
1983.19.3,Beaux-Arts,Peinture,peinture,murale,,"Barbeau, Jacques",,La Cueillette,,,,,,,1973,XXe siècle,,pastel,papier,peint,portrait,Amérique du Nord,Canada,Québec,Sherbrooke,art populaire / art naïf,"nord-américain, québécois",Cantons-de-l'Est,,don,1983-05-27
1983.19.4,Beaux-Arts,Estampe,estampe,,,"Barbeau, Jacques",,Les trois soeurs,,,,,,,1974,XXe siècle,,encre,papier,"imprimé, sérigraphie",portrait; religion,Amérique du Nord,Canada,Québec,Sherbrooke,art populaire / art naïf,"nord-américain, québécois",Cantons-de-l'Est,,don,1983-05-27
1983.19.5,Beaux-Arts,Estampe,estampe,épreuve d'artiste,,"Barbeau, Jacques",,La tuque rouge,,,,,,,1976,XXe siècle,,encre,papier,"imprimé, sérigraphie",portrait,Amérique du Nord,Canada,Québec,Sherbrooke,art populaire / art naïf,"nord-américain, québécois",Cantons-de-l'Est,,don,1983-05-27
1983.19.6,Beaux-Arts,Estampe,estampe,,,"Barbeau, Jacques",,La tentation,,,,,,,1976,XXe siècle,,encre,papier,"imprimé, sérigraphie",portrait,Amérique du Nord,Canada,Québec,Sherbrooke,art populaire / art naïf,"nord-américain, québécois",Cantons-de-l'Est,,don,1983-05-27
1983.19.7,Beaux-Arts,Estampe,estampe,,,"Benazon, Ophra",,No. 4,,,,,,,1976,XXe siècle,,encre,papier,"imprimé, sérigraphie",abstraction,Amérique du Nord,Canada,Québec,Sherbrooke,art contemporain,"asiatique, israélien; nord-américain, canadien",Cantons-de-l'Est,,don,1983-05-27
1983.19.8,Beaux-Arts,Estampe,estampe,,,"Benazon, Ophra",,No. 5,,,,,,,1976,XXe siècle,,encre,papier,"imprimé, sérigraphie",abstraction,Amérique du Nord,Canada,Québec,Sherbrooke,art contemporain,"asiatique, israélien; nord-américain, canadien",Cantons-de-l'Est,,don,1983-05-27
1983.19.9,Beaux-Arts,Estampe,estampe,,,"Benazon, Ophra",,No. 6,,,,,,,1976,XXe siècle,,encre,papier,"imprimé, sérigraphie",abstraction,Amérique du Nord,Canada,Québec,Sherbrooke,art contemporain,"asiatique, israélien; nord-américain, canadien",Cantons-de-l'Est,,don,1983-05-27
1983.19.10,Beaux-Arts,Estampe,estampe,,,"Benoît, Jacques",,Vibratile d'automne,,,,,,,1976,XXe siècle,,encre,carton,"imprimé, lithographie",abstraction,Amérique du Nord,Canada,Québec,,art contemporain,"nord-américain, québécois; nord-américain, canadien",,,don,1983-05-27
1983.19.11,Beaux-Arts,Sculpture,sculpture,ronde-bosse,,"Benson, Kent",,Non titré,,,,,,,1976,4e quart du XXe siècle,argile,,,sculpté; cuit; poli,objet,Amérique du Nord,Canada,,,art contemporain,"nord-américain, canadien",,,don,1983-05-27
1983.19.12,Beaux-Arts,Peinture,peinture,murale,,"Bergeron, Roxanne",,Sans titre,,,,,,,1973,XXe siècle,,acrylique,toile,peint,abstraction,Amérique du Nord,Canada,Québec,,art contemporain,"nord-américain, québécois",,,don,1983-05-27
1983.19.13,Beaux-Arts,Dessin,dessin,,,"Bouthillier-Nantel, Mariette",,Non titré,,,,,,,1972,XXe siècle,,encre invisible,papier,dessiné,abstraction,Amérique du Nord,Canada,Québec,,art contemporain,"nord-américain, québécois; nord-américain, canadien",,,don,1983-05-27
1983.19.14,Beaux-Arts,Dessin,dessin,,,"Dupuis, Réginald",,Corbeau dans le soleil,,,,,,,1974,XXe siècle,,encre invisible,papier,dessiné,abstraction,Amérique du Nord,Canada,Québec,,art contemporain,"nord-américain, québécois",,,don,1983-05-27
1983.19.15,Beaux-Arts,Peinture,peinture,murale,,"Dupuis, Réginald",,Paysage,,,,,,,1972,XXe siècle,,huile,carton,peint,paysage,Amérique du Nord,Canada,Québec,,art contemporain,"nord-américain, québécois",,,don,1983-05-27
1983.19.16,Beaux-Arts,Estampe,estampe,,,"Gérin, Denyse",,Non titré,,,,,,,1976,XXe siècle,,encre,papier,"imprimé, sérigraphie",abstraction,Amérique du Nord,Canada,Québec,Montréal,art contemporain,"nord-américain, québécois",,,don,1983-05-27
1983.19.17,Beaux-Arts,Estampe,estampe,,,"Gérin, Denyse",,Non titré,,,,,,,1976 c,XXe siècle,,encre,papier,"imprimé, sérigraphie",abstraction,Amérique du Nord,Canada,Québec,Montréal,art contemporain,"nord-américain, québécois",,,don,1983-05-27
1983.19.18,Beaux-Arts,Peinture,peinture,murale,,"Gérin, Denyse",,Non titré,,,,,,,1974,XXe siècle,,gouache,papier,peint,abstraction,Amérique du Nord,Canada,Québec,Montréal,art contemporain,"nord-américain, québécois",,,don,1983-05-27
1983.19.19,Beaux-Arts,Peinture,peinture,murale,,"Gérin, Denyse",,Non titré,,,,,,,1974,XXe siècle,,gouache,papier,peint,abstraction,Amérique du Nord,Canada,Québec,Montréal,art contemporain,"nord-américain, québécois",,,don,1983-05-27
1983.19.20,Beaux-Arts,Peinture,peinture,murale,,"Gérin, Denyse",,La mutation C,,,,,,,1975,XXe siècle,,acrylique,papier,peint,abstraction,Amérique du Nord,Canada,Québec,Montréal,art contemporain,"nord-américain, québécois",,,don,1983-05-27
1983.19.21,Beaux-Arts,Dessin,dessin,,,"Gérin, Denyse",,Non titré,,,,,,,1976,XXe siècle,,encre; crayon Conté,papier,dessiné,abstraction,Amérique du Nord,Canada,Québec,Montréal,art contemporain,"nord-américain, québécois",,,don,1983-05-27
1983.19.22,Beaux-Arts,Dessin,dessin,,,"Gérin, Denyse",,Non titré,,,,,,,1980,XXe siècle,,acrylique; fusain,toile,peint,abstraction,Amérique du Nord,Canada,Québec,Montréal,art contemporain,"nord-américain, québécois",,,don,1983-05-27
1983.19.23,Beaux-Arts,Dessin,dessin,,,"Gérin, Denyse",,Non titré,,,,,,,1976,XXe siècle,,crayon-feutre; crayon mine de plomb; pastel,papier,dessiné,abstraction,Amérique du Nord,Canada,Québec,Montréal,art contemporain,"nord-américain, québécois",,,don,1983-05-27
1983.19.24,Beaux-Arts,Estampe,estampe,,,"Hanel, Olaf",,Non titré,,,,,,,1980,XXe siècle,,encre,papier,eau-forte,abstraction,Amérique du Nord,Canada,Québec,Sherbrooke,art contemporain,"européen, tchèque",Cantons-de-l'Est,,don,1983-05-27
1983.19.25,Beaux-Arts,Photographie,photographie,,,"Lacroix, André",,Non titré,,,,,,,1977,XXe siècle,,épreuve argentique,papier,,architecture,Amérique du Nord,Canada,Québec,,art contemporain,"nord-américain, québécois",,,don,1983-05-27
1983.19.26,Beaux-Arts,Photographie,photographie,,,"Lacroix, André",,Non titré,,,,,,,1977,XXe siècle,,épreuve argentique,papier,,architecture,Amérique du Nord,Canada,Québec,,art contemporain,"nord-américain, québécois",,,don,1983-05-27
1983.19.27,Beaux-Arts,Photographie,photographie,,,"Lacroix, André",,Non titré,,,,,,,1977,XXe siècle,,épreuve argentique,papier,,architecture,Amérique du Nord,Canada,Québec,,art contemporain,"nord-américain, québécois",,,don,1983-05-27
1983.19.28,Beaux-Arts,Dessin,dessin,,,"Lafleur, Claude",,La mouette,,,,,,,1972,XXe siècle,,encre,papier,dessiné,semi-abstraction; portrait; animal,Amérique du Nord,Canada,Québec,Sherbrooke,art contemporain,"nord-américain, québécois",Cantons-de-l'Est,,don,1983-05-27
1983.19.29,Beaux-Arts,Peinture,peinture,murale,,"Lafleur, Claude",,Oiseau de lune,,,,,,,1973,3e quart du XXe siècle,,acrylique,toile,peint,semi-abstraction; animal,Amérique du Nord,Canada,Québec,Sherbrooke,art contemporain,"nord-américain, québécois",Cantons-de-l'Est,,don,1983-05-27
1983.19.30,Beaux-Arts,Dessin,dessin,,,"Lafrance, Claude",,Semence,,,,,,,1977,XXe siècle,,encre,papier,dessiné,abstraction,Amérique du Nord,Canada,Québec,,art contemporain,"nord-américain, québécois",,,don,1983-05-27
1983.19.31,Beaux-Arts,Dessin,dessin,,,"Lafrance, Claude",,Non titré,,,,,,,1972 c,XXe siècle,,crayon-feutre,papier,dessiné,abstraction,Amérique du Nord,Canada,Québec,,art contemporain,"nord-américain, québécois",,,don,1983-05-27
1983.19.32,Arts décoratifs,Textile,tapisserie,,,"Mondou, Pierrette",,Composition en blanc no. 5,,,,,,,1976,XXe siècle,"fibre, laine; fibre",,,tissé; assemblé; ficelé,abstraction,Amérique du Nord,Canada,Québec,Montréal,Nouvelle tapisserie,"nord-américain, québécois",,,don,1983-05-27
1983.19.33,Beaux-Arts,Estampe,estampe,,,"Naeve, Lowell",,The Last Tree,,,,,,,1970,XXe siècle,,encre,papier,"imprimé, lithographie",scène urbaine,Amérique du Nord,Canada,,,art contemporain,"nord-américain, canadien",,,don,1983-05-27
1983.19.34,Beaux-Arts,Estampe,estampe,,,"Ouellette, Richard",,Non titré,,,,,,,1974,XXe siècle,,,papier,embossé,abstraction,Amérique du Nord,Canada,Québec,,art contemporain,"nord-américain, québécois; nord-américain, canadien",,,don,1983-05-27
1983.19.35,Beaux-Arts,Peinture,peinture,murale,,"Ouellette, Richard",,Non titré,,,,,,,1976,XXe siècle,,acrylique,papier,peint,abstraction,Amérique du Nord,Canada,Québec,,art contemporain,"nord-américain, québécois; nord-américain, canadien",,,don,1983-05-27
1983.19.36,Beaux-Arts,Estampe,estampe,,,"Pouliot, Mario",,Deux oiseaux aux fines herbes,,,,,,,1975,XXe siècle,,encre,papier de riz,gravure sur bois,semi-abstraction; animal; végétal,Amérique du Nord,Canada,Québec,,art contemporain,"nord-américain, québécois",,,don,1983-05-27
1983.19.37,Beaux-Arts,Estampe,estampe,,,"Pouliot, Mario",,La quête,,,,,,,1975,XXe siècle,,encre,papier,gravure sur bois,portrait,Amérique du Nord,Canada,Québec,,art contemporain,"nord-américain, québécois",,,don,1983-05-27
1983.19.38.1,Beaux-Arts,Estampe,estampe,,,"Richard, Hélène",,Non titré,,,,,,,1977,4e quart du XXe siècle,,encre,papier,"imprimé, sérigraphie",végétal,Amérique du Nord,Canada,Québec,Sherbrooke,art contemporain,"nord-américain, québécois",Cantons-de-l'Est,,don,1983-05-27
1983.19.38.1-10,Beaux-Arts,Estampe,album,couleur,,"Richard, Hélène","Dubé, Marcel",La lièvre,,,,,,,1977,4e quart du XXe siècle,,,,,végétal,Amérique du Nord,Canada,Québec,Sherbrooke,art contemporain,"nord-américain, québécois",Cantons-de-l'Est,,don,1983-05-27
1983.19.38.2,Beaux-Arts,Estampe,estampe,,,"Richard, Hélène",,Non titré,,,,,,,1977,4e quart du XXe siècle,,encre,papier,"imprimé, sérigraphie",végétal,Amérique du Nord,Canada,Québec,Sherbrooke,art contemporain,"nord-américain, québécois",Cantons-de-l'Est,,don,1983-05-27
1983.19.38.3,Beaux-Arts,Estampe,estampe,,,"Richard, Hélène",,Non titré,,,,,,,1977,4e quart du XXe siècle,,encre,papier,"imprimé, sérigraphie",végétal,Amérique du Nord,Canada,Québec,Sherbrooke,art contemporain,"nord-américain, québécois",Cantons-de-l'Est,,don,1983-05-27
1983.19.38.4,Beaux-Arts,Estampe,estampe,,,"Richard, Hélène",,Non titré,,,,,,,1977,4e quart du XXe siècle,,encre,papier,"imprimé, sérigraphie",végétal,Amérique du Nord,Canada,Québec,Sherbrooke,art contemporain,"nord-américain, québécois",Cantons-de-l'Est,,don,1983-05-27
1983.19.38.5,Beaux-Arts,Estampe,estampe,,,"Richard, Hélène",,Non titré,,,,,,,1977,4e quart du XXe siècle,,encre,papier,"imprimé, sérigraphie",végétal,Amérique du Nord,Canada,Québec,Sherbrooke,art contemporain,"nord-américain, québécois",Cantons-de-l'Est,,don,1983-05-27
1983.19.38.6,Beaux-Arts,Estampe,estampe,,,"Richard, Hélène",,Non titré,,,,,,,1977,4e quart du XXe siècle,,encre,papier,"imprimé, sérigraphie",végétal,Amérique du Nord,Canada,Québec,Sherbrooke,art contemporain,"nord-américain, québécois",Cantons-de-l'Est,,don,1983-05-27
1983.19.38.7,Beaux-Arts,Estampe,estampe,,,"Richard, Hélène",,Non titré,,,,,,,1977,4e quart du XXe siècle,,encre,papier,"imprimé, sérigraphie",végétal,Amérique du Nord,Canada,Québec,Sherbrooke,art contemporain,"nord-américain, québécois",Cantons-de-l'Est,,don,1983-05-27
